Desired T100 Wavelength,Actual T100 Wavelength,Desired T100 Output Power,Actual T100 Output Power,Power Meter Wavelength Setting,Power Meter Reading
1636,1636,0,0,1636,-58.8848,
1636,1636,2,2,1636,-58.8789,
1636,1636,4,4,1636,-58.879,
1636,1636,6,6,1636,-58.8779,
1636,1636,8,8,1636,-58.878,
1637,1637,0,0,1637,-58.8733,
1637,1637,2,2,1637,-58.8715,
1637,1637,4,4,1637,-58.8719,
1637,1637,6,6,1637,-58.8724,
1637,1637,8,8,1637,-58.8728,
1638,1638,0,0,1638,-58.8726,
1638,1638,2,2,1638,-58.8664,
1638,1638,4,4,1638,-58.8664,
1638,1638,6,6,1638,-58.8665,
1638,1638,8,8,1638,-58.866,
1639,1639,0,0,1639,-58.8663,
1639,1639,2,2,1639,-58.8595,
1639,1639,4,4,1639,-58.8596,
1639,1639,6,6,1639,-58.8595,
1639,1639,8,8,1639,-58.8593,
1640,1640,0,0,1640,-58.8609,
1640,1640,2,2,1640,-58.8525,
1640,1640,4,4,1640,-58.8514,
1640,1640,6,6,1640,-58.8507,
1640,1640,8,8,1640,-58.8513,
1641,1641,0,0,1641,-58.8491,
1641,1641,2,2,1641,-58.8463,
1641,1641,4,4,1641,-58.8454,
1641,1641,6,6,1641,-58.8463,
1641,1641,8,8,1641,-58.8454,
1642,1642,0,0,1642,-58.8475,
1642,1642,2,2,1642,-58.8444,
1642,1642,4,4,1642,-58.8462,
1642,1642,6,6,1642,-58.8457,
1642,1642,8,8,1642,-58.8453,
1643,1643,0,0,1643,-58.8435,
1643,1643,2,2,1643,-58.8378,
1643,1643,4,4,1643,-58.8369,
1643,1643,6,6,1643,-58.8352,
1643,1643,8,8,1643,-58.8376,
1644,1644,0,0,1644,-58.8372,
1644,1644,2,2,1644,-58.8314,
1644,1644,4,4,1644,-58.8297,
1644,1644,6,6,1644,-58.8297,
1644,1644,8,8,1644,-58.8319,
1645,1645,0,0,1645,-58.8206,
1645,1645,2,2,1645,-58.8229,
1645,1645,4,4,1645,-58.822,
1645,1645,6,6,1645,-58.819,
1645,1645,8,8,1645,-58.8213,
1646,1646,0,0,1646,-58.8196,
1646,1646,2,2,1646,-58.8119,
1646,1646,4,4,1646,-58.8125,
1646,1646,6,6,1646,-58.8138,
1646,1646,8,8,1646,-58.8121,
1647,1647,0,0,1647,-58.8132,
1647,1647,2,2,1647,-58.7972,
1647,1647,4,4,1647,-58.798,
1647,1647,6,6,1647,-58.7981,
1647,1647,8,8,1647,-58.7979,
1648,1648,0,0,1648,-58.7973,
1648,1648,2,2,1648,-58.7852,
1648,1648,4,4,1648,-58.7825,
1648,1648,6,6,1648,-58.7833,
1648,1648,8,8,1648,-58.7846,
1649,1649,0,0,1649,-58.7894,
1649,1649,2,2,1649,-58.8278,
1649,1649,4,4,1649,-58.8858,
1649,1649,6,6,1649,-58.7632,
1649,1649,8,8,1649,-58.774,
1650,1650,0,0,1650,-58.768,
1650,1650,2,2,1650,-58.7571,
1650,1650,4,4,1650,-58.751,
1650,1650,6,6,1650,-58.7413,
1650,1650,8,8,1650,-58.7646,
1651,1651,0,0,1650,-58.7952,
1651,1651,2,2,1650,-58.8314,
1651,1651,4,4,1650,-58.7455,
1651,1651,6,6,1650,-58.7368,
1651,1651,8,8,1650,-58.7391,
1652,1652,0,0,1650,-58.7363,
1652,1652,2,2,1650,-58.7362,
1652,1652,4,4,1650,-58.7379,
1652,1652,6,6,1650,-58.7393,
1652,1652,8,8,1650,-58.7391,
1653,1653,0,0,1650,-58.7391,
1653,1653,2,2,1650,-58.7392,
1653,1653,4,4,1650,-58.738,
