T100 Wavelength,Desired T100 Output Power,T100 Output Power,Power Meter Wavelength,Power Meter Reading
1360,-6.6,-6.58,1360,-84.9075,
1360,-6.5,-6.51,1360,-84.4231,
1360,-6.4,-6.39,1360,-84.9535,
1360,-6.3,-6.3,1360,-84.8319,
1360,-6.2,-6.23,1360,-84.9766,
1360,-6.1,-6.1,1360,-84.542,
1360,-6,-5.97,1360,-84.7063,
1360,-5.9,-5.93,1360,-84.8665,
1360,-5.8,-5.79,1360,-85.1137,
1360,-5.7,-5.74,1360,-84.6455,
1360,-5.6,-5.61,1360,-84.5616,
1360,-5.5,-5.5,1360,-85.157,
1360,-5.4,-5.4,1360,-84.5462,
1360,-5.3,-5.29,1360,-84.3891,
1360,-5.2,-5.22,1360,-84.6903,
1360,-5.1,-5.13,1360,-84.6399,
1360,-5,-5.03,1360,-85.0469,
1360,-4.9,-4.93,1360,-84.8229,
1360,-4.8,-4.82,1360,-84.7827,
1360,-4.7,-4.68,1360,-84.7635,
1360,-4.6,-4.6,1360,-85.2583,
1360,-4.5,-4.51,1360,-84.6455,
1360,-4.4,-4.41,1360,-84.9705,
1360,-4.3,-4.33,1360,-84.306,
1360,-4.2,-4.2,1360,-84.7532,
1360,-4.1,-4.11,1360,-84.8529,
1360,-4,-4,1360,-84.4027,
1360,-3.9,-3.92,1360,-84.9597,
1360,-3.8,-3.8,1360,-84.7546,
1360,-3.7,-3.72,1360,-85.0754,
1360,-3.6,-3.61,1360,-85.0344,
1360,-3.5,-3.5,1360,-84.4739,
1360,-3.4,-3.4,1360,-84.6027,
1360,-3.3,-3.29,1360,-84.9985,
1360,-3.2,-3.2,1360,-85.1943,
1360,-3.1,-3.1,1360,-84.686,
1360,-3,-3,1360,-84.862,
1360,-2.9,-2.9,1360,-85.2009,
1360,-2.8,-2.81,1360,-84.6745,
1360,-2.7,-2.69,1360,-84.7695,
1360,-2.6,-2.6,1360,-84.7092,
1360,-2.5,-2.49,1360,-84.6614,
1360,-2.4,-2.4,1360,-84.9565,
1360,-2.3,-2.29,1360,-84.306,
1360,-2.2,-2.21,1360,-84.686,
1360,-2.1,-2.12,1360,-84.2755,
1360,-2,-2.01,1360,-84.8273,
1360,-1.9,-1.91,1360,-84.6715,
1360,-1.8,-1.81,1360,-84.718,
1360,-1.7,-1.7,1360,-85.0016,
1360,-1.6,-1.59,1360,-84.4946,
1360,-1.5,-1.51,1360,-84.1367,
1360,-1.4,-1.4,1360,-84.3932,
1360,-1.3,-1.3,1360,-84.7487,
1360,-1.2,-1.2,1360,-84.2166,
1360,-1.1,-1.1,1360,-84.6298,
1360,-1,-1,1360,-84.0733,
1360,-0.9,-0.9,1360,-84.4642,
1360,-0.8,-0.8,1360,-84.489,
1360,-0.7,-0.7,1360,-84.7709,
1360,-0.6,-0.6,1360,-84.82,
1360,-0.5,-0.51,1360,-84.3824,
1360,-0.4,-0.4,1360,-85.1539,
1360,-0.3,-0.3,1360,-84.404,
1360,-0.2,-0.19,1360,-84.9212,
1360,-0.1,-0.1,1360,-84.6355,
1360,-8.13238e-15,-0.09,1360,-85.1041,
1360,0.1,0.09,1360,-84.6284,
1360,0.2,0.2,1360,-84.7487,
1360,0.3,0.31,1360,-84.6962,
1360,0.4,0.4,1360,-84.6557,
1360,0.5,0.5,1360,-84.969,
1360,0.6,0.6,1360,-84.802,
1360,0.7,0.71,1360,-85.0094,
1360,0.8,0.8,1360,-84.5673,
1360,0.9,0.9,1360,-84.6184,
1360,1,1,1360,-84.7975,
1360,1.1,1.1,1360,-84.5871,
1360,1.2,1.2,1360,-85.0031,
1360,1.3,1.3,1360,-84.7576,
1360,1.4,1.4,1360,-84.82,
1360,1.5,1.51,1360,-85.0438,
1360,1.6,1.61,1360,-84.7312,
1360,1.7,1.7,1360,-84.9612,
1360,1.8,1.8,1360,-84.5999,
