T100 WAVELENGTH,T100 POWER,BRISTOL WAVELENGTH,BRISTOL POWER,POWER METER POWER
1470,-0.04,1470.0610,-0.360,+3.71465300E-011
1470,-0.05,1470.0609,-0.390,+3.68276600E-011
1470,-0.05,1470.0609,-0.400,+3.71144900E-011
1470,-0.05,1470.0608,-0.410,+3.67893400E-011
1470,-0.05,1470.0608,-0.440,+3.68387000E-011
1470,-0.05,1470.0608,-0.430,+3.73620300E-011
1470,-0.04,1470.0607,-0.390,+3.69312200E-011
1470,-0.04,1470.0607,-0.390,+3.71730900E-011
1470,-0.04,1470.0606,-0.340,+3.68813700E-011
1470,-0.04,1470.0606,-0.370,+3.72101200E-011
1470,-0.04,1470.0605,-0.410,+3.74991100E-011
1470,-0.04,1470.0605,-0.390,+3.70723700E-011
1470,-0.04,1470.0604,-0.390,+3.73749800E-011
1470,-0.05,1470.0604,-0.400,+3.68509800E-011
1470,-0.04,1470.0604,-0.400,+3.65748600E-011
1470,-0.05,1470.0603,-0.370,+3.70909700E-011
1470,-0.04,1470.0603,-0.400,+3.70566500E-011
1470,-0.04,1470.0602,-0.350,+3.65387700E-011
1470,-0.04,1470.0602,-0.380,+3.68152500E-011
1470,-0.04,1470.0602,-0.370,+3.70771900E-011
1470,-0.05,1470.0601,-0.400,+3.68481300E-011
1470,-0.04,1470.0601,-0.400,+3.68148300E-011
1470,-0.05,1470.0600,-0.360,+3.68544700E-011
1470,-0.05,1470.0600,-0.400,+3.67769000E-011
1470,-0.04,1470.0599,-0.400,+3.73324900E-011
1470,-0.04,1470.0599,-0.400,+3.66156000E-011
1470,-0.05,1470.0599,-0.380,+3.69136900E-011
1470,-0.05,1470.0598,-0.350,+3.66823100E-011
1470,-0.05,1470.0598,-0.380,+3.72052600E-011
1470,-0.05,1470.0597,-0.380,+3.71465400E-011
1470,-0.05,1470.0901,-0.300,+3.69027100E-011
1470,-0.05,1470.0905,-0.350,+3.71776700E-011
1470,-0.04,1470.0905,-0.300,+3.70374000E-011
1470,-0.05,1470.0905,-0.290,+3.68803700E-011
1470,-0.05,1470.0905,-0.320,+3.67945300E-011
1470,-0.05,1470.0905,-0.340,+3.68163900E-011
1470,-0.05,1470.0905,-0.320,+3.68988100E-011
1470,-0.05,1470.0904,-0.330,+3.69582600E-011
1470,-0.04,1470.0904,-0.370,+3.68066300E-011
1470,-0.05,1470.0903,-0.340,+3.69841400E-011
1470,-0.05,1470.0903,-0.250,+3.68962500E-011
1470,-0.05,1470.0903,-0.280,+3.73130000E-011
1470,-0.04,1470.0902,-0.350,+3.68739700E-011
1470,-0.05,1470.0902,-0.300,+3.70523300E-011
1470,-0.05,1470.0902,-0.300,+3.70625200E-011
1470,-0.05,1470.0901,-0.300,+3.66966900E-011
1470,-0.04,1470.0901,-0.320,+3.72144700E-011
1470,-0.05,1470.0900,-0.320,+3.70221000E-011
1470,-0.05,1470.0900,-0.360,+3.69403500E-011
1470,-0.05,1470.0900,-0.380,+3.66174500E-011
1470,-0.04,1470.0899,-0.330,+3.66715700E-011
1470,-0.05,1470.0899,-0.360,+3.69521200E-011
1470,-0.05,1470.0899,-0.320,+3.68694500E-011
1470,-0.04,1470.0898,-0.350,+3.67992600E-011
1470,-0.05,1470.0898,-0.330,+3.68147000E-011
1470,-0.05,1470.0897,-0.180,+3.70732300E-011
1470,-0.05,1470.0897,-0.350,+3.67411600E-011
1470,-0.05,1470.0897,-0.380,+3.67169300E-011
1470,-0.05,1470.0896,-0.320,+3.70526600E-011
1470,-0.04,1470.0896,-0.350,+3.71493500E-011
1470,-0.04,1470.0895,-0.280,+3.71856000E-011
1470,-0.05,1470.0895,-0.330,+3.68745200E-011
1470,-0.04,1470.0895,-0.350,+3.71159700E-011
1470,-0.05,1470.0894,-0.350,+3.68974200E-011
1470,-0.05,1470.0894,-0.350,+3.68968500E-011
1470,-0.04,1470.0894,-0.320,+3.67825800E-011
1470,-0.05,1470.0893,-0.340,+3.71668100E-011
1470,-0.05,1470.0893,-0.380,+3.67365700E-011
1470,-0.04,1470.0892,-0.380,+3.66630600E-011
1470,-0.04,1470.0892,-0.360,+3.68251100E-011
1470,-0.05,1470.0891,-0.360,+3.64564200E-011
1470,-0.05,1470.0891,-0.280,+3.67312200E-011
1470,-0.04,1470.0891,-0.330,+3.71384100E-011
1470,-0.05,1470.0890,-0.310,+3.69031600E-011
1470,-0.05,1470.0890,-0.390,+3.73927100E-011
1470,-0.05,1470.0889,-0.380,+3.68979000E-011
1470,-0.05,1470.0889,-0.330,+3.68097400E-011
1470,-0.05,1470.0889,-0.330,+3.69186500E-011
1470,-0.04,1470.0888,-0.360,+3.69545500E-011
1470,-0.04,1470.0888,-0.310,+3.70144700E-011
1470,-0.05,1470.0887,-0.360,+3.70983200E-011
1470,-0.05,1470.0887,-0.330,+3.68069000E-011
1470,-0.05,1470.0886,-0.390,+3.69007300E-011
1470,-0.04,1470.0886,-0.340,+3.69371700E-011
1470,-0.05,1470.0886,-0.350,+3.72061700E-011
1470,-0.05,1470.0885,-0.340,+3.67390300E-011
1470,-0.05,1470.0885,-0.390,+3.70570000E-011
1470,-0.05,1470.0885,-0.380,+3.71455700E-011
1470,-0.04,1470.0884,-0.350,+3.66316400E-011
